longitude,latitude,yrbuilt,stories code,TLA,Wall code,#beds,#baths,#halfbaths,frontage,garage type code,garage sqft,#rooms,lotsize,sale date yymmdd,sold93,sold94,sold95,sold96,sold97,sold98,price
-83.585684,41.689195,1922,1,822,6,2,1,0,38,3,240,5,4000,931004,1,0,0,0,0,0,26000
-83.590222,41.674407,1933,5,1504,6,3,2,0,50,0,0,6,11100,980409,0,0,0,0,0,1,70000
-83.711599,41.63341,1997,5,1606,7,4,2,1,80,2,520,6,12800,970619,0,0,0,0,1,0,24900
-83.614055,41.678215,1939,1,1084,4,4,1,0,41,3,228,7,5500,950823,0,0,1,0,0,0,83000
-83.71986,41.697297,1991,5,3390,7,4,2,1,97,2,672,8,14800,960716,0,0,0,1,0,0,300000
-83.595917,41.634752,1950,1,752,3,2,1,0,30,3,280,4,3900,980529,0,0,0,0,0,1,39500
-83.605209,41.603004,1926,5,1628,6,4,1,0,50,3,616,7,6700,941219,0,1,0,0,0,0,97000
-83.474765,41.711377,1956,1,1396,4,3,1,0,50,3,432,8,5300,950606,0,0,1,0,0,0,69000
-83.599041,41.713787,1955,1,888,3,3,1,0,59,2,440,6,9100,971030,0,0,0,0,1,0,75900
-83.686823,41.646281,1954,1,864,3,2,1,0,120,3,784,5,17600,930701,1,0,0,0,0,0,61000
-83.49891,41.638358,1928,5,1162,6,3,1,1,35,3,440,7,3500,960528,0,0,0,1,0,0,52000
-83.601207,41.728867,1965,5,1889,7,3,1,1,32,2,423,6,8100,960220,0,0,0,1,0,0,118900
-83.554532,41.723205,1972,5,1347,7,3,1,1,57,2,399,6,6600,960812,0,0,0,1,0,0,100000
-83.608766,41.686337,1935,5,1456,6,3,1,1,40,3,216,7,4300,950502,0,0,1,0,0,0,81500
-83.605438,41.600672,1936,5,1545,4,4,1,1,50,3,400,7,7400,960305,0,0,0,1,0,0,102000
-83.674003,41.717569,1947,1,720,6,2,1,0,50,0,0,5,8500,950911,0,0,1,0,0,0,14750
-83.597921,41.697822,1937,4,1478,6,3,1,1,60,2,288,7,11200,940211,0,1,0,0,0,0,80000
-83.621519,41.689976,1917,1,710,3,2,1,0,60,3,216,5,8700,980122,0,0,0,0,0,1,44000
